학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2018 학년도,1학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,"화,목 12:00~13:15 [J209]",3.0,김영주,44,,,,,,,,,1학년,1학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG2001,2,영문학개론,3.0,월 13:30~14:45 / 금 12:00~13:15 [J215],3.0,BonfiglioRichardPaul,42,O,,,,,,,,전학년,1학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,"화,목 10:30~11:45 [J209]",3.0,채서영,21,O,,,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG2003,2,언어학개론,3.0,"화,목 12:00~13:15 [J325]",3.0,Barrie Michael Jonathan Mathew,20,O,,,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG2007,1,영미수필,3.0,"화,목 10:30~11:45 [J313]",3.0,신경원,28,,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,월 10:30~11:45 / 수 12:00~13:15 [J325],3.0,장기윤,16,O,,,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,"화,목 09:00~10:15 [J313]",3.0,김치헌,19,O,,,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG2101,3,영문학작문,3.0,"수,금 13:30~14:45 [J325]",3.0,이수경,15,O,,,,,,,,전학년,1-2학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3007,1,낭만주의시대의영문학,3.0,"화,목 13:30~14:45 [J313]",3.0,신경원,19,,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3008,1,초기영국소설,3.0,"화,목 15:00~16:15 [J313]",3.0,신경원,27,,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3009,1,빅토리아시대의영문학,3.0,"월,금 16:30~17:45 [J217]",3.0,BonfiglioRichardPaul,16,O,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3102,1,현대서양문학,3.0,"월,금 16:30~17:45 [J327]",3.0,신문주,40,O,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3105,1,최근영국문학,3.0,"화,목 16:30~17:45 [J602]",3.0,김영주,18,,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3107,1,현대미국소설,3.0,"수,금 13:30~14:45 [J602]",3.0,황은주,28,,,,,,,,,"2,3,4학년",2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3201,1,신화와문학,3.0,"수,금 15:00~16:15 [J602]",3.0,김태원,35,,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3224,1,서양문학전통,3.0,월 15:00~16:15 / 수 16:30~17:45 [J602],3.0,장기윤,33,O,,,,,,,,"2,3,4학년",2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3305,1,영어화용론,3.0,월 12:00~13:15 / 금 10:30~11:45 [J102],3.0,이성범,62,,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3306,1,영어통사론,3.0,"화,목 09:00~10:15 [J325]",3.0,Barrie Michael Jonathan Mathew,15,O,,,,,,,,"2,3,4학년",2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3308,1,심리언어학,3.0,"화,목 15:00~16:15 [J215]",3.0,조숙환,28,,,,,,,,,전학년,2-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3314,1,모국어습득론(캡스톤디자인),3.0,"화,목 16:30~17:45 [J215]",3.0,조숙환,19,,,,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3406,1,영문자서전창작,3.0,월 12:00~13:15 / 금 10:30~11:45 [J313],3.0,"Disney, Daniel James Philip",18,O,,,,,,,,전학년,1-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3408,1,영어교육론,3.0,"수,금 15:00~16:15 [J317]",3.0,박은성,11,O,,,,,,,,"2,3,4학년",1-4학년,,,
2018 학년도,1학기,학부,영미어문전공,ENG3412,1,영어연설과원고작성법,3.0,"화,목 13:30~14:45 [J209]",3.0,채서영,17,,,,,,,,,"2,3,4학년",1-4학년,,영어연설연습(ENG2109)의 대체과목,
2018 학년도,1학기,학부,영미어문전공,ENG4099,1,개별연구논문,3.0,,,Yoo Isaiah WonHo,1,O,,,,O,,O,,,3-4학년,,,"강의없음. 졸업학점포함되지만 전공학점에는 불포함. 학과장수강승인(영문학과사무실 문의,02-705-8290)"
2018 학년도,1학기,학부,영미어문전공,ENGG004,1,19세기영국문학프로세미나,3.0,화 15:00~18:00 [J124],3.0,김치헌,2,O,,,,O,,,,"3,4학년",3-4학년,,대학원초급과목,학석사연계과목
2018 학년도,1학기,학부,영미어문전공,ENGG231,1,제2언어습득론입문:이론과적용,3.0,수 10:00~13:00 [J616],3.0,박은성,2,O,,,,O,,,,"3,4학년",3-4학년,,대학원초급과목,대학원 초급과목
2018 학년도,1학기,학부,영미어문전공,ENGG282,1,영어논리/논증적글쓰기의이론과실제,3.0,수 15:00~18:00 [J122],3.0,이요안,2,O,,,,O,,,,"3,4학년",3-4학년,,대학원초급과목,학석사연계과목
2018 학년도,1학기,학부,사학전공,HIS2003,1,한국사개론,3.0,월 09:00~10:15 / 수 10:30~11:45 [J307],3.0,최희정,20,,,,,,,,,전학년,2-4학년,,"구 한국사개설I,II 통합과목",
2018 학년도,1학기,학부,사학전공,HIS2005,1,서양사개론,3.0,"화,목 15:00~16:15 [J107]",3.0,박단,55,,,,,,,,,전학년,2-4학년,,"구 서양사개설I,II 통합과목",
