과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,장기윤,3,"화,목 13:30~14:45",1학년,,16,"영어강의, 정하상관, EFL(영어가 외국어인 학생)만 가능"
ENG2003-01,언어학개론,Barrie Michael Jonathan Mathew,3,"화,목 15:00~16:15 [K401]",1-4학년,,35,"영어강의, [대면수업]"
ENG2003-02,언어학개론,채서영,3,"화,목 09:00~10:15",1-4학년,,22,
ENG2004-01,현대영미문학,장기윤,3,"화,목 16:30~17:45",2-4학년,,30,
ENG2009-01,영미단편소설,황은주,3,"수,금 09:00~10:15 [J311]",2-4학년,,16,[대면수업]
ENG2101-01,영문학작문,"Disney, Daniel James Philip",3,"월,수 10:30~11:45",1-2학년,,16,영어강의
ENG2101-02,영문학작문,김태원,3,"월,수 16:30~17:45 [J128]",1-2학년,,18,"영어강의, [대면수업]"
ENG2101-03,영문학작문,윤주옥,3,"화,목 09:00~10:15",1-2학년,,20,영어강의
ENG2103-01,작문과수사학,채서영,3,"화,목 13:30~14:45",2-4학년,,24,영작문연습(ENG2107)의 대체과목
ENG3002-01,초기영문학,윤주옥,3,"화,목 12:00~13:15",2-4학년,,27,
ENG3003-01,르네상스시대의영문학,김태원,3,"월,수 12:00~13:15",2-4학년,,36,
ENG3010-01,빅토리아시대의소설,BonfiglioRichardPaul,3,"화,목 10:30~11:45",2-4학년,,30,영어강의
ENG3104-01,현대영국소설,김영주,3,"화,목 15:00~16:15",2-4학년,,30,
ENG3107-01,현대미국소설,전선재,3,"수,금 09:00~10:15",2-4학년,,48,영어강의
ENG3207-01,영어권대중문학,장기윤,3,"수,금 15:00~16:15",2-4학년,,31,
ENG3216-01,영문학특강,황은주,3,"수,금 13:30~14:45",2-4학년,,23,부제: NEW YORK CITY IN LITERATURE
ENG3229-01,비교문학,BonfiglioRichardPaul,3,"화,목 16:30~17:45",2-4학년,,12,영어강의
ENG3303-01,영어사,이성범,3,"수,금 15:00~16:15",2-4학년,,27,영어의이해(AMC2026)의 대체과목
ENG3304-01,영어음운론,정인기,3,"월,수 10:30~11:45",2-4학년,,20,영어강의
ENG3307-01,영어의미론,이성범,3,"수,금 13:30~14:45",2-4학년,,28,
ENG3312-01,언어와사회,채서영,3,"화,목 12:00~13:15",2-4학년,,31,"승인과목, 수강허가과목"
ENG3320-01,연결담화를통한스토리텔링,이요안,3,"화,목 10:30~11:45",1-4학년,,4,
ENG3406-01,영문자서전창작,"Disney, Daniel James Philip",3,"월,수 16:30~17:45",1-4학년,,14,영어강의
ENG3407-01,대화분석,이요안,3,"화,목 13:30~14:45",2-4학년,,15,(구) ENG3310 담화분석개론
ENG4099-01,개별연구논문,황은주,3,,3-4학년,,1,"Honors과목, 승인과목, 주임교수 승인 필요"
EUR4299-01,독일문화개별연구논문,,3,,3-4학년,,0,"Honors과목, 승인과목, 강의없음. 졸업학점포함되지만 전공학점에는 불포함. 학과장수강승인(독일문화사무실 문의,02-705-8307)"
ENGG003-01,왕정복고및18세기영문학프로세미나,김치헌,3,화 15:00~18:00,3-4학년,,4,"영어강의, 학석사연계과목"
ENGG005-01,20세기영국문학프로세미나,김영주,3,화 10:30~13:30,3-4학년,,3,학석사연계과목
HIS2002-01,현대세계의역사적이해,최성철,3,금 10:30~13:15,1-2학년,,82,
HIS3002-01,고려시대사,김아네스,3,"수,금 09:00~10:15",2-4학년,,14,(구)한국중세사
HIS3005-01,한국현대사,정일영,3,"수,금 13:30~14:45 [J107]",2-4학년,,25,[대면수업]
HIS3006-01,중국고대사,정면,3,"화,목 12:00~13:15",2-4학년,,31,
HIS3008-01,중국근세사,이기천,3,"화,목 09:00~10:15",2-4학년,,92,
HIS3010-01,중국현대사,전인갑,3,"월,수 10:30~11:45",2-4학년,,34,
HIS3014-01,일본사개설,정녕,3,"화,목 15:00~16:15",2-4학년,,59,
HIS3015-01,요동사,정면,3,"화,목 10:30~11:45",2-4학년,,8,
HIS3021-01,서양고대사,오흥식,3,"월,수 16:30~17:45",2-4학년,,36,
PHI3001-01,서양고대철학사,전헌상,3,"화,목 16:30~17:45",2-4학년,,65,
HIS3037-01,미국사개설,박현숙,3,"화,목 13:30~14:45",2-4학년,,11,
HIS3040-01,한국사개론Ⅱ,정일영,3,"수,금 09:00~10:15",2-4학년,,18,(구)세계문명사Ⅰ
HIS3041-01,한국사상사,최기영,3,"화,목 10:30~11:45",2-4학년,,35,
HIS3052-01,한국금석학,조범환,3,"월,수 10:30~11:45",2-4학년,,8,
HIS3057-01,중국사회경제사,전인갑,3,"월,수 12:00~13:15 [J309]",2-4학년,,6,[대면수업]
HIS3062-01,서양사개론Ⅱ,백인호,3,"화,목 16:30~17:45",2-4학년,,11,(구)세계문명사Ⅲ
HIS3071-01,문화유산현장실습2,계승범,1,월 16:30~17:45,1-4학년,,46,"문화유산현장실습4(HIS3073)와 합반, 성적평가:S/U"
HIS3073-01,문화유산현장실습4,계승범,1,월 16:30~17:45,1-4학년,,25,문화유산현장실습2(HIS3071)와 합반
HIS4004-01,한국사특강4,최기영,3,"화,목 13:30~14:45",2-4학년,,14,
HIS4007-01,한국사강독3,계승범,3,"월,수 12:00~13:15 [J107]",3-4학년,,17,[대면수업]
HIS4014-01,서양사특강3,임지현,3,"수,금 13:30~14:45",2-4학년,,21,
HIS4018-01,서양사명저해제2,백인호,3,"화,목 09:00~10:15",3-4학년,,6,구 서양사강독2(교과목명변경)
HIS4031-01,역사글쓰기,조범환,3,"화,목 15:00~16:15 [J311]",3-4학년,,4,"[대면수업], 구 역사학논문쓰"
HISQ983-01,역사교과교재연구및지도법,김상훈,3,목 16:40~19:10,2-4학년,,6,"PHIQ983철학교과교재연구및지도법과 합반, 교직이수자만 전공학점으로 인정"
PHI2001-01,철학개론,김영건,3,"화,목 13:30~14:45",2-4학년,,47,
PHI2004-01,한국철학사,조성환,3,월 13:30~16:15,2-4학년,,43,
PHI2007-01,인식론,오은영,3,"월,수 10:30~11:45",2-4학년,,43,
EEEG477-01,패턴인식,김경환,3,"화,목 12:00~13:15",4학년,,8,
PHI2008-01,윤리학,이상섭,3,"화,목 12:00~13:15",2-4학년,,20,
PHI3004-01,서양현대철학사,서동욱,3,"화,목 10:30~11:45",2-4학년,,32,
PHI3007-01,아우구스티누스철학,이상섭,3,"화,목 15:00~16:15",2-4학년,,25,
